rooms,area_m2,floor_current,floor_total,price,district,floor_ratio,building_type_enc,is_baku,district_freq,district_target_enc
2,60,13,19,750,Həzi Aslanov m.,0.6842105263157895,1,1,409,667.4449877750611
2,66,13,14,700,İnşaatçılar m.,0.9285714285714286,1,1,636,727.9591194968554
3,70,1,3,650,Elmlər Akademiyası m.,0.3333333333333333,0,1,662,1093.358006042296
2,55,6,20,750,20 Yanvar m.,0.3,1,1,620,771.0661290322581
3,95,3,4,600,Nəsimi r.,0.75,0,1,739,1119.722598105548
2,65,4,16,600,İnşaatçılar m.,0.25,1,1,636,727.9591194968554
2,45,3,5,650,Nəriman Nərimanov m.,0.6,0,1,1211,946.3137902559868
3,122,6,8,800,Nəriman Nərimanov m.,0.75,0,1,1211,946.3137902559868
2,98,7,17,720,Azadlıq Prospekti m.,0.4117647058823529,1,1,280,759.9142857142857
2,45,1,1,500,Nəriman Nərimanov m.,1.0,0,1,1211,946.3137902559868
2,48,10,15,500,Nəriman Nərimanov m.,0.6666666666666666,1,1,1211,946.3137902559868
3,96,15,17,450,Xırdalan,0.8823529411764706,1,0,334,459.20059880239523
2,40,6,16,750,Yasamal r.,0.375,1,1,180,888.6555555555556
3,112,5,20,550,Bakıxanov q.,0.25,1,1,74,601.2702702702703
2,52,16,20,650,20 Yanvar m.,0.8,1,1,620,771.0661290322581
2,70,14,18,650,Nəsimi m.,0.7777777777777778,1,1,132,687.25
2,65,4,19,550,İnşaatçılar m.,0.21052631578947367,1,1,636,727.9591194968554
1,44,11,17,600,Azadlıq Prospekti m.,0.6470588235294118,1,1,280,759.9142857142857
3,80,2,9,800,Nərimanov r.,0.2222222222222222,0,1,515,1025.102912621359
2,85,5,16,670,8-ci kilometr q.,0.3125,1,1,30,684.4333333333333
2,60,15,16,500,Xırdalan,0.9375,1,0,334,459.20059880239523
3,100,9,16,850,Nəsimi m.,0.5625,1,1,132,687.25
2,50,8,16,700,İnşaatçılar m.,0.5,1,1,636,727.9591194968554
2,65,4,9,550,Azadlıq Prospekti m.,0.4444444444444444,0,1,280,759.9142857142857
2,44,2,5,750,Nəsimi r.,0.4,0,1,739,1119.722598105548
3,85,2,5,900,28 May m.,0.4,0,1,1066,1281.5741088180112
2,50,4,5,700,Nizami m.,0.8,0,1,752,1187.590425531915
3,75,3,9,650,Xalqlar Dostluğu m.,0.3333333333333333,0,1,122,590.8196721311475
2,80,1,5,999,28 May m.,0.2,0,1,1066,1281.5741088180112
2,75,13,16,280,Yeni Yasamal q.,0.8125,1,1,159,671.3647798742138
2,60,12,20,600,20 Yanvar m.,0.6,1,1,620,771.0661290322581
3,70,8,18,800,Memar Əcəmi m.,0.4444444444444444,1,1,410,626.4536585365854
2,65,3,8,600,Qara Qarayev m.,0.375,0,1,322,761.6521739130435
2,50,12,16,600,Əhmədli m.,0.75,1,1,217,630.6866359447005
3,130,2,16,230,İnşaatçılar m.,0.125,1,1,636,727.9591194968554
2,77,8,16,700,İnşaatçılar m.,0.5,1,1,636,727.9591194968554
2,50,7,16,650,20 Yanvar m.,0.4375,1,1,620,771.0661290322581
2,49,3,5,430,Memar Əcəmi m.,0.6,0,1,410,626.4536585365854
2,61,11,11,350,Yeni Günəşli q.,1.0,0,1,50,473.68
3,65,3,4,850,Nərimanov r.,0.75,0,1,515,1025.102912621359
2,70,6,18,800,Nizami m.,0.3333333333333333,1,1,752,1187.590425531915
2,56,5,5,320,Masazır q.,1.0,0,1,95,389.6421052631579
2,55,3,12,525,Yeni Günəşli q.,0.25,1,1,50,473.68
2,75,7,8,750,Bakmil m.,0.875,0,1,32,1116.25
2,80,7,17,700,Qara Qarayev m.,0.4117647058823529,1,1,322,761.6521739130435
3,80,2,3,550,Binəqədi q.,0.6666666666666666,0,1,8,483.75
2,100,13,17,900,Qara Qarayev m.,0.7647058823529411,1,1,322,761.6521739130435
2,35,3,3,320,Əhmədli m.,1.0,0,1,217,630.6866359447005
2,80,6,12,500,Masazır q.,0.5,1,1,95,389.6421052631579
3,85,10,12,400,Sumqayıt,0.8333333333333334,1,0,142,499.78169014084506
3,80,3,9,650,Xalqlar Dostluğu m.,0.3333333333333333,0,1,122,590.8196721311475
2,70,2,5,900,Nardaran q.,0.4,0,1,20,1142.15
2,67,6,9,549,Həzi Aslanov m.,0.6666666666666666,0,1,409,667.4449877750611
2,65,14,18,699,Həzi Aslanov m.,0.7777777777777778,1,1,409,667.4449877750611
2,95,5,16,649,Nizami r.,0.3125,1,1,41,736.5365853658536
2,70,15,18,650,Xətai r.,0.8333333333333334,1,1,228,1175.798245614035
2,72,5,10,800,7-ci mikrorayon q.,0.5,0,1,41,732.4146341463414
3,75,15,18,175,9-cu mikrorayon q.,0.8333333333333334,1,1,34,562.3823529411765
2,60,6,9,550,Həzi Aslanov m.,0.6666666666666666,0,1,409,667.4449877750611
2,40,1,2,600,Sahil m.,0.5,0,1,278,1223.8021582733813
2,85,5,16,670,8-ci kilometr q.,0.3125,1,1,30,684.4333333333333
2,49,5,5,550,Gəncə,1.0,0,0,18,447.77777777777777
2,62,3,6,320,Xırdalan,0.5,0,0,334,459.20059880239523
2,46,3,5,450,Gənclik m.,0.6,0,1,521,966.3109404990403
1,40,4,5,400,Nəriman Nərimanov m.,0.8,0,1,1211,946.3137902559868
2,50,13,19,699,Nərimanov r.,0.6842105263157895,1,1,515,1025.102912621359
3,130,3,9,840,Memar Əcəmi m.,0.3333333333333333,0,1,410,626.4536585365854
2,40,8,16,650,Yeni Yasamal q.,0.5,1,1,159,671.3647798742138
3,110,11,18,800,Həzi Aslanov m.,0.6111111111111112,1,1,409,667.4449877750611
4,75,3,5,900,Nəsimi r.,0.6,0,1,739,1119.722598105548
4,105,5,20,600,Yeni Yasamal q.,0.25,1,1,159,671.3647798742138
3,112,7,10,800,Yeni Yasamal q.,0.7,0,1,159,671.3647798742138
3,65,8,12,550,İnşaatçılar m.,0.6666666666666666,1,1,636,727.9591194968554
3,102,3,3,850,Nəsimi r.,1.0,0,1,739,1119.722598105548
2,58,3,9,500,Abşeron r.,0.3333333333333333,0,1,11,511.3636363636364
2,50,4,5,450,Nəsimi m.,0.8,0,1,132,687.25
4,170,4,20,200,Nəsimi r.,0.2,1,1,739,1119.722598105548
3,85,1,5,700,28 May m.,0.2,0,1,1066,1281.5741088180112
